amount,hour_of_day,day_of_week,country,country_risk,transaction_type,transaction_type_encoded,merchant_category,merchant_category_encoded,fraud_probability
250.0,14,0,FR,0,Paiement,0,Restaurant,0,13.18642944097519
250.0,14,0,US,0,Paiement,0,Restaurant,0,13.18642944097519
250.0,14,0,CN,1,Paiement,0,Restaurant,0,74.52038526535034
31.0,14,0,CN,1,Paiement,0,Restaurant,0,74.99353289604187
31.0,14,3,CN,1,Paiement,0,Technologie,1,33.41183662414551
31.0,1,3,FR,0,Paiement,0,Divertissement,2,80.46372532844543
5.0,10,5,CN,1,Paiement,0,Commerce de détail,4,21.81653529405594
500.0,2,2,RU,1,Virement,2,Commerce de détail,4,100.0
500.0,2,2,FR,0,Virement,2,Commerce de détail,4,100.0
200.0,2,2,FR,0,Virement,2,Commerce de détail,4,100.0
200.0,8,2,FR,0,Virement,2,Commerce de détail,4,100.0
200.0,13,2,FR,0,Virement,2,Commerce de détail,4,100.0
200.0,16,2,FR,0,Virement,2,Commerce de détail,4,100.0
120.0,16,2,FR,0,Virement,2,Commerce de détail,4,100.0
120.0,16,4,FR,0,Virement,2,Commerce de détail,4,100.0
20.0,14,0,FR,0,Paiement,0,Restaurant,0,100.0
20.0,14,0,FR,0,Paiement,0,Restaurant,0,100.0
20.0,14,0,BR,1,Paiement,0,Restaurant,0,100.0
20.0,14,0,US,0,Paiement,0,Restaurant,0,100.0
500.0,14,0,FR,0,Paiement,0,Restaurant,0,100.0
500.0,5,0,FR,0,Paiement,0,Restaurant,0,100.0
500.0,14,0,FR,0,Paiement,0,Restaurant,0,99.0017592906952
20.0,3,0,FR,0,Paiement,0,Technologie,1,99.69154596328735
20.0,10,0,FR,0,Paiement,0,Technologie,1,99.69154596328735
20.0,12,0,FR,0,Paiement,0,Technologie,1,99.69154596328735
20.0,14,0,FR,0,Paiement,0,Technologie,1,99.69154596328735
20.0,14,0,FR,0,Paiement,0,Restaurant,0,0.0059163110563531
158888.0,14,0,RU,1,Paiement,0,Commerce de détail,4,1.0954379104077816
199988.0,14,0,RU,1,Virement,2,Technologie,1,5.241828039288521
18500.0,3,6,NG,1,Retrait,1,Technologie,1,97.63423204421997
45.0,14,1,FR,0,Paiement,0,Restaurant,0,0.00827036055852659
